,cell_name,total_mass,chr1_mass,cell_type
3177,arc_pair_246622,57.230684,16.88567,Monocytes
3178,arc_pair_639111,39.166337999999996,11.933474,Monocytes
3186,arc_pair_344592,43.015046000000005,15.365538,Monocytes
3189,arc_pair_215305,48.764663,12.310863000000001,Monocytes
3195,arc_pair_664582,39.188929,11.016016,T cells
3202,arc_pair_326707,42.022131,10.636461,Monocytes
3209,arc_pair_686568,32.070429000000004,8.426925,Monocytes
3221,arc_pair_600155,440.79247499999997,174.01394000000002,B cells
3224,arc_pair_246858,23.275595000000003,8.506989,Monocytes
3234,arc_pair_734292,57.276439999999994,17.700328,NK cells
3235,arc_pair_249543,24.407585,10.61139,T cells
3237,arc_pair_35734,30.491787,7.802486000000001,CD4+ T cells
3243,arc_pair_563269,29.221864999999998,9.070308,Monocytes
3260,arc_pair_709714,25.185605000000002,7.246226,Dendritic cells
3270,arc_pair_638452,34.208984,10.186948000000001,T cells
3279,arc_pair_573455,50.32921,12.378708999999999,Monocytes
3282,arc_pair_309603,27.289440000000003,8.267306,Dendritic cells
3285,arc_pair_37565,86.088886,24.8025,NK cells
3288,arc_pair_696513,33.951095,8.530151,Monocytes
3292,arc_pair_268137,69.208189,16.752383,Dendritic cells
3293,arc_pair_565094,77.863348,25.551010999999995,Monocytes
3298,arc_pair_463672,39.4548,13.593297,NK cells
3299,arc_pair_205057,30.725705,8.12163,Monocytes
3319,arc_pair_465088,283.231268,89.249801,T cells
3320,arc_pair_694200,22.634259,6.439322,Monocytes
3339,arc_pair_609708,28.822221000000003,8.881722,CD8+ T cells
3344,arc_pair_594469,29.618567000000002,7.422478999999999,Progenitors
3359,arc_pair_621761,27.011129,8.070232,Monocytes
3379,arc_pair_75491,156.965564,45.028193,T cells
3385,arc_pair_71981,34.769833000000006,9.337403,Monocytes
3390,arc_pair_695407,26.204832,6.8615639999999996,Dendritic cells
3392,arc_pair_302632,53.40110200000001,19.745046000000002,CD4+ T cells
3400,arc_pair_207617,80.31822400000001,29.234243,Monocytes
3409,arc_pair_643624,28.341644000000002,7.672105,CD4+ T cells
3422,arc_pair_417437,35.380894,11.368796,CD4+ T cells
3423,arc_pair_718797,42.330029,13.11298,NK cells
3425,arc_pair_506144,45.970307000000005,13.742703,Monocytes
3429,arc_pair_634060,127.11455400000001,56.466091999999996,CD4+ T cells
3449,arc_pair_599975,49.491529,11.27029,Monocytes
3451,arc_pair_553763,26.650119,7.085389000000001,Monocytes
3461,arc_pair_615013,77.42040700000001,21.495937,Monocytes
3463,arc_pair_427605,35.181433,12.318081,Monocytes
3482,arc_pair_419887,39.901324,11.971288,CD4+ T cells
3489,arc_pair_235418,55.257388999999996,16.456386000000002,CD4+ T cells
3493,arc_pair_664629,51.397531,15.884169,Monocytes
3502,arc_pair_171355,76.40478300000001,25.143245,Monocytes
3510,arc_pair_586874,25.590405999999994,6.398544,Dendritic cells
3517,arc_pair_460896,29.298603000000004,8.808572999999999,CD4+ T cells
3522,arc_pair_270589,256.017694,74.15410600000001,CD4+ T cells
3552,arc_pair_220544,122.18443400000001,32.02005700000001,T cells
3556,arc_pair_26179,118.680066,39.429545000000005,NK cells
3561,arc_pair_276631,73.732056,20.266003,NK cells
3575,arc_pair_116248,27.350369,8.556034,Monocytes
3604,arc_pair_165789,71.26879199999999,24.078419,Dendritic cells
3607,arc_pair_656328,24.576361,4.926883999999999,CD4+ T cells
3615,arc_pair_253744,40.554175,14.858582,T cells
3632,arc_pair_590627,26.924906999999997,8.734136,Monocytes
3638,arc_pair_306539,33.070176000000004,9.673489,Monocytes
3644,arc_pair_379937,35.198452,12.23509,Monocytes
3656,arc_pair_184270,24.50853,6.251039,Monocytes
3657,arc_pair_66819,23.240992,5.882595,Monocytes
3658,arc_pair_437849,23.104689,7.506627,Dendritic cells
3660,arc_pair_409018,22.887658000000002,5.36464,CD8+ T cells
3661,arc_pair_405938,43.332522999999995,12.672080000000001,CD8+ T cells
3671,arc_pair_635169,32.118581,8.759756,T cells
3677,arc_pair_487783,33.859432,12.35034,CD4+ T cells
3678,arc_pair_371668,188.299537,54.425944,Monocytes
3695,arc_pair_402068,32.768337,9.062857999999999,Monocytes
3698,arc_pair_537290,398.629826,88.74681799999999,T cells
3699,arc_pair_41681,24.007326,7.4833169999999996,Monocytes
