,cell_name,total_mass_4mb_85,total_mass_1mb_95,total_mass_1mb_98,cell_line
26,cell529_GM12878_,70.56851247066118,725.3862604458088,318.56816123508133,GM12878
27,cell593_K562_,84.71850362585732,817.3162089424625,340.9287142598001,K562
28,cell71_HeLa_,91.64700723722439,864.7495547442647,359.77120483608246,HeLa
29,cell46_HeLa_,86.71333120631486,879.8672282329593,365.59032027122305,HeLa
30,cell162_HeLa_,95.9241851144889,888.6265767710503,365.2377812127408,HeLa
31,cell393_HAP1_,94.44978889415701,848.4385952185044,356.88174933325183,HAP1
32,cell13_HeLa_,108.75745471865254,872.604269481692,364.2031332001252,HeLa
33,cell269_HeLa_,119.63419463119112,952.3413703439273,371.3362648759859,HeLa
34,cell428_HeLa_,70.56291289209082,827.7723430907812,358.4640641779197,HeLa
35,cell111_HeLa_,81.01273073027467,862.0745392937074,358.9667841804866,HeLa
36,cell126_HeLa_,89.3200450060163,857.8342227834887,353.2313447690158,HeLa
37,cell278_HeLa_,92.63465371105264,832.4113790211683,342.14268365480126,HeLa
38,cell173_HeLa_,99.03179252352068,879.4789210124883,361.32487326900116,HeLa
39,cell339_HeLa_,71.2684423326902,747.6698142665089,333.43086776365794,HeLa
40,cell144_HeLa_,72.0277955076985,828.3155302747522,349.05773310824645,HeLa
41,cell614_K562_,98.21874868735225,857.1994389471945,357.49560352848084,K562
42,cell57_HeLa_,108.13691232464089,857.0234596965713,346.809053131983,HeLa
43,cell296_HAP1_,68.29088237171784,722.1205767592053,323.84178738544796,HAP1
44,cell582_K562_,82.28051366105694,802.5892051372898,335.6307256405919,K562
45,cell24_HAP1_,106.76921155560002,830.2679190630702,350.63325428766393,HAP1
46,cell137_HAP1_,79.80969920980296,770.8496526309201,324.6387285703719,HAP1
47,cell493_HeLa_,85.81818390210091,865.3377023722021,358.7006332140644,HeLa
48,cell100_HAP1_,95.30696931587117,893.1447270802421,360.79283127156936,HAP1
49,cell287_HeLa_,91.71609930818424,873.2401473819853,364.4674796847554,HeLa
50,cell328_HAP1_,63.52456120183291,789.6896208797345,341.78411386737156,HAP1
51,cell155_HAP1_,65.31813922488047,758.9087753236798,338.36853306064563,HAP1
52,cell253_HeLa_,82.06606463742767,878.0894654800234,362.78560338038284,HeLa
53,cell503_K562_,118.10798000559367,909.342208385283,361.5083054841047,K562
54,cell92_HAP1_,126.28195220348863,889.6778139346571,356.779272179856,HAP1
55,cell534_K562_,102.80077731890604,867.4412764373131,360.5297507459932,K562
56,cell425_HeLa_,105.48063173914113,846.0606488638765,340.2349444551733,HeLa
57,cell347_HeLa_,102.07462790545978,887.0391191329222,352.92773744146007,HeLa
58,cell370_HeLa_,84.44072924527208,869.0466528894601,362.39642347786105,HeLa
59,cell561_K562_,80.0563270015426,820.6393997485927,352.0821481219348,K562
60,cell206_HeLa_,83.44584169342968,861.7187455931016,355.57960949277356,HeLa
61,cell556_K562_,89.26442492978245,855.398397116707,356.3122312930524,K562
62,cell325_HeLa_,99.76604421856581,839.3819060004474,346.9450972900579,HeLa
63,cell608_K562_,64.34437755317668,753.3188420375868,329.17598286411567,K562
64,cell158_HeLa_,97.9621944864472,839.8292323491994,344.7054616043216,HeLa
65,cell190_HeLa_,100.37097435490587,866.8705223308386,356.298889146147,HeLa
66,cell361_HAP1_,82.1415094602772,916.420393083479,367.15466337048366,HAP1
67,cell275_HAP1_,91.35617701269999,881.9087261138548,359.89678772169964,HAP1
68,cell38_HAP1_,93.9816560144711,866.0747497855928,359.23008079998954,HAP1
69,cell242_HAP1_,78.53698110454621,830.0178070982706,350.0962509837888,HAP1
70,cell83_HeLa_,98.532634805378,856.6648726426647,351.7298463139848,HeLa
71,cell461_HAP1_,86.99270531416579,828.7419582406287,345.14257304378634,HAP1
72,cell334_HAP1_,50.53916873769036,698.2055461724419,332.08662299232566,HAP1
73,cell456_HAP1_,77.48998160120331,751.2784783307155,327.7563077118959,HAP1
74,cell577_GM12878_,95.65012607029861,861.8494607939001,360.878207364009,GM12878
75,cell189_HeLa_,96.35234230452062,790.8455732277855,331.71953475739014,HeLa
76,cell378_HAP1_,87.56694698935797,745.7167600014031,322.4577233340534,HAP1
77,cell16_HAP1_,115.79707984365601,907.7254927122432,359.33762150717007,HAP1
78,cell587_K562_,95.48820408984528,824.9165072726648,338.66938496122964,K562
79,cell478_HAP1_,70.57640311354044,762.6224784308858,332.86653916578734,HAP1
80,cell167_HAP1_,68.49128061607883,831.6076024402595,355.19192698697105,HAP1
81,cell43_HAP1_,48.83650642218024,578.5638157042458,294.37813238818535,HAP1
82,cell282_HeLa_,88.20211767885303,855.7455528313851,354.898861599563,HeLa
83,cell74_HAP1_,82.66122667619358,833.5484890637038,346.4275387606079,HAP1
84,cell487_HAP1_,37.65853322012636,558.8840210179741,296.6367830140773,HAP1
85,cell198_HAP1_,68.31611375176928,786.4317489646315,346.1111688294609,HAP1
86,cell114_HeLa_,91.36730729972172,858.8498810574355,354.2138716980959,HeLa
87,cell228_HeLa_,101.33037730108387,878.6838396177586,355.3348725462936,HeLa
88,cell52_HeLa_,127.65160918043327,868.7608412587631,355.0335670163231,HeLa
89,cell176_HeLa_,102.04823321572314,834.4454622042336,357.1642616115714,HeLa
90,cell387_HAP1_,68.22912708193537,781.5027665220389,333.0224690300772,HAP1
91,cell86_HeLa_,90.92331045291931,865.3700068949142,357.5009349229688,HeLa
92,cell270_HAP1_,53.63413997723475,622.4209117078829,308.5870914856747,HAP1
93,cell431_HAP1_,77.47336564652682,818.6300310846304,347.3425165873748,HAP1
94,cell353_HAP1_,60.76708318006713,663.9852142573807,298.34467726254934,HAP1
95,cell364_HAP1_,61.18080143066985,688.4382681336464,322.373130929952,HAP1
96,cell406_HAP1_,50.883610057645356,630.5843710226425,317.76199593896877,HAP1
97,cell225_HAP1_,56.97961109870861,687.2675003502937,319.1225492362654,HAP1
98,cell453_HAP1_,46.01951967962898,624.3025742910341,330.02886280930676,HAP1
99,cell306_HAP1_,75.91378074788621,754.8330608690261,335.0529840590882,HAP1
100,cell184_HAP1_,84.0204670701303,824.3302117009913,351.10820026998266,HAP1
101,cell375_HeLa_,83.17444047599847,851.5842408427675,352.481018932639,HeLa
102,cell420_HeLa_,112.05014534848749,898.0397232908986,358.04607562724095,HeLa
