,cell_name,cell_type,total_mass
696,arc_pair_66576,CD4+ T cells,9.277220995413623
697,arc_pair_66582,T cells,10.167328651005086
698,arc_pair_66643,CD4+ T cells,26.03016418032883
699,arc_pair_66644,CD8+ T cells,14.785448875323471
700,arc_pair_66695,CD4+ T cells,11.393483820420714
701,arc_pair_66726,CD4+ T cells,10.091946617579383
702,arc_pair_66809,T cells,9.68479421990017
703,arc_pair_66819,Monocytes,32.671003037580114
704,arc_pair_66821,T cells,22.86277014430712
705,arc_pair_66842,NK cells,12.688112936473232
706,arc_pair_67027,CD4+ T cells,14.488812042310824
707,arc_pair_67167,Dendritic cells,27.571339623545185
708,arc_pair_67265,T cells,14.294905361915673
709,arc_pair_67554,NK cells,31.73470715420087
710,arc_pair_67587,CD4+ T cells,13.41261675240997
711,arc_pair_67750,CD8+ T cells,16.292548032816967
712,arc_pair_67791,CD4+ T cells,13.327365496468634
713,arc_pair_67853,NK cells,14.497548169222586
714,arc_pair_67863,NK cells,8.32180270278824
715,arc_pair_67893,NK cells,22.23632101659367
716,arc_pair_68097,CD4+ T cells,14.32247757587024
717,arc_pair_68145,T cells,18.50950193831114
718,arc_pair_68258,NK cells,11.5513997162983
719,arc_pair_68404,B cells,26.6661749864141
720,arc_pair_68419,T cells,21.84850149467283
721,arc_pair_68559,NK cells,22.308033205619417
722,arc_pair_68624,B cells,9.151398072173984
723,arc_pair_69076,CD4+ T cells,9.75291305646848
724,arc_pair_69269,Monocytes,17.00157459170471
725,arc_pair_69283,T cells,13.906438817725586
726,arc_pair_69335,T cells,13.639455977504555
727,arc_pair_69464,T cells,10.70489252018286
728,arc_pair_69490,B cells,14.317940743620357
729,arc_pair_69771,T cells,64.05847509457041
730,arc_pair_69828,CD4+ T cells,15.76015794390876
731,arc_pair_69966,CD4+ T cells,36.82771375539146
732,arc_pair_70042,T cells,10.966439028953648
733,arc_pair_70148,Monocytes,36.25162930568336
734,arc_pair_70189,Monocytes,39.889655286489344
735,arc_pair_70467,T cells,8.72570923552806
736,arc_pair_70471,CD4+ T cells,14.860234819734345
737,arc_pair_70910,Monocytes,10.81851176719508
738,arc_pair_70987,Dendritic cells,50.55341971617068
739,arc_pair_71059,Monocytes,44.17845643826468
740,arc_pair_71174,NK cells,17.36016529887667
741,arc_pair_71208,Monocytes,30.348881577128324
742,arc_pair_71245,CD4+ T cells,14.445081998991974
743,arc_pair_71299,NK cells,11.316051347438862
744,arc_pair_71349,CD4+ T cells,12.08688790831648
